State,Area Name,"Less Than A High School Diploma, 2017-21","High School Diploma Only, 2017-21","Some College Or Associate'S Degree, 2017-21","Bachelor'S Degree Or Higher, 2017-21","Percent Of Adults With Less Than A High School Diploma, 2017-21","Percent Of Adults With A High School Diploma Only, 2017-21","Percent Of Adults Completing Some College Or Associate'S Degree, 2017-21","Percent Of Adults With A Bachelor'S Degree Or Higher, 2017-21",Estimate Of People Of All Ages In Poverty 2020,Estimated Percent Of People Of All Ages In Poverty 2020,Employed_2020,Unemployed_2020,Unemployment_Rate_2020,Median_Household_Income_2020,"County Household Median Income As A Percent Of The State Total Median Household Income, 2020"
AR,Lonoke County,4955.0,18597.0,15689.0,10015.0,10.05968815981809,37.7558063992204,31.85195712197499,20.33254831898652,7974.0,10.9,31886.0,1875.0,5.6,59623.0,116.57412114339343
AR,Madison County,1734.0,5735.0,2467.0,1556.0,15.0887573964497,49.90428123912287,21.4671075530804,13.53985381134702,2797.0,16.9,7001.0,291.0,4.0,45144.0,88.26496695733782
AR,Marion County,1770.0,4682.0,4416.0,1933.0,13.82704476212796,36.57526755722209,34.49730489805484,15.10038278259511,3165.0,19.1,5860.0,405.0,6.5,39888.0,77.98850349978494
AR,Miller County,3828.0,10586.0,9851.0,4950.0,13.10285812082834,36.23481088481944,33.71897997603971,16.94335101831251,8050.0,19.2,18003.0,1340.0,6.9,43634.0,85.3126344191139
AR,Mississippi County,4654.0,11058.0,7244.0,3813.0,17.38578206133961,41.30897680152415,27.06115282603011,14.24408831110613,8235.0,21.0,15704.0,1565.0,9.1,47892.0,93.63782113948305
AR,Monroe County,1030.0,2007.0,1169.0,655.0,21.18905574984571,41.28780086401974,24.04854968113557,13.47459370499897,1543.0,23.8,2541.0,181.0,6.6,35833.0,70.06021976303131
AR,Montgomery County,1030.0,2111.0,2295.0,985.0,16.0411150911073,32.87649898769662,35.74209624669054,15.34028967450553,1666.0,18.8,2752.0,206.0,7.0,42751.0,83.58620419974191
AR,Nevada County,517.0,2937.0,1633.0,637.0,9.03214535290007,51.31027253668763,28.52900069881202,11.12858141160028,1512.0,19.1,3336.0,209.0,5.9,41854.0,81.83240136081022
AR,Newton County,790.0,2026.0,1652.0,877.0,14.78016838166511,37.90458372310571,30.90739008419083,16.40785781103835,1406.0,18.7,3023.0,163.0,5.1,40698.0,79.57220506002425
AR,Ouachita County,1995.0,6501.0,5412.0,2131.0,12.43843132364861,40.53245214788952,33.74275204189787,13.286364486564,4669.0,20.5,9243.0,597.0,6.1,46374.0,90.66984710436789
AR,Perry County,617.0,3076.0,2156.0,1241.0,8.702397743300423,43.38504936530325,30.40902679830748,17.50352609308886,1506.0,14.7,3899.0,233.0,5.6,46317.0,90.55840143901771
AR,Phillips County,2010.0,3489.0,3902.0,1575.0,18.31268221574344,31.78753644314869,35.5502915451895,14.34948979591837,3767.0,22.1,5723.0,580.0,9.2,35167.0,68.75806514683455
AR,Pike County,865.0,2729.0,2160.0,1392.0,12.10467394346487,38.18919675342849,30.22670025188917,19.47942905121747,1932.0,18.6,4016.0,254.0,5.9,43133.0,84.33308567629922
AR,Poinsett County,2920.0,7067.0,3972.0,1816.0,18.51030110935024,44.7987321711569,25.17908082408875,11.51188589540412,4857.0,21.2,9206.0,547.0,5.6,36150.0,70.6800140773472
AR,Polk County,1569.0,5178.0,4748.0,2112.0,11.53082971999706,38.05394282354671,34.8938046593665,15.52142279708973,3538.0,18.1,7468.0,537.0,6.7,42915.0,83.9068548860126
AR,Pope County,6442.0,13836.0,11106.0,9502.0,15.75600450031796,33.84043437851587,27.16333219194834,23.24022892921782,8552.0,14.1,26218.0,1652.0,5.9,46350.0,90.62292261369413
AR,Prairie County,793.0,2552.0,1759.0,921.0,13.16182572614108,42.35684647302904,29.19502074688797,15.28630705394191,1137.0,14.5,3417.0,194.0,5.4,48478.0,94.7835607867673
AR,Pulaski County,23083.0,69538.0,79783.0,98432.0,8.522869928665317,25.67531642765363,29.45804841306178,36.34376523061927,59031.0,15.3,174991.0,14059.0,7.4,56171.0,109.82481523481798
AR,Randolph County,1821.0,4839.0,3945.0,2030.0,14.41234665611397,38.29837752275426,31.22279382667194,16.06648199445983,2912.0,16.3,7006.0,443.0,5.9,46495.0,90.90642474484808
AR,St. Francis County,2950.0,6559.0,5273.0,1903.0,17.68055139346719,39.31075816601738,31.6032364399161,11.40545400059934,6199.0,30.1,7388.0,634.0,7.9,37759.0,73.82591013960035
AR,Saline County,6952.0,26015.0,28198.0,23685.0,8.193282262816735,30.65998821449617,33.23276370064821,27.91396582203889,10057.0,8.2,55813.0,2970.0,5.1,70550.0,137.9384507097329
AR,Scott County,1387.0,2827.0,1950.0,757.0,20.04045658141887,40.84669845398064,28.1751192024274,10.9377257621731,1756.0,17.5,4150.0,195.0,4.5,41230.0,80.61236460329253
